index,date,open,high,low,close,volume,capital_gains
0,2020-11-18 00:00:00-05:00,336.4622151307247,337.0122455337377,332.1085451114896,332.1458435058594,70591300,0.0
1,2020-11-19 00:00:00-05:00,331.5119592100005,333.9171796504589,330.1601696166916,333.5442810058594,59940900,0.0
2,2020-11-20 00:00:00-05:00,333.2831804706044,333.488278950446,331.1855940200901,331.2601623535156,70417300,0.0
3,2020-11-23 00:00:00-05:00,333.0781105421872,334.5138000241452,330.8313587818934,333.24591064453125,63230600,0.0
4,2020-11-24 00:00:00-05:00,335.8096694568364,339.16581417336886,334.9520054155988,338.61578369140625,62415900,0.0
5,2020-11-25 00:00:00-05:00,338.53185265789205,338.5598193425402,336.9936281015618,338.0936889648437,45330900,0.0
6,2020-11-27 00:00:00-05:00,339.1938077787689,339.5107730757146,338.0191499221767,339.03533935546875,28514100,0.0
7,2020-11-30 00:00:00-05:00,338.2521628265193,338.52252641604707,334.8401134429491,337.5343322753906,83872700,0.0
8,2020-12-01 00:00:00-05:00,340.80651298549947,342.7735691873469,340.20985254776235,341.2260131835937,74231400,0.0
9,2020-12-02 00:00:00-05:00,340.10741468940176,342.1024381409969,339.5294175066999,341.9439697265625,45927000,0.0
10,2020-12-03 00:00:00-05:00,341.84140681263983,343.2491298215101,340.7413458211083,341.8507385253906,62882000,0.0
11,2020-12-04 00:00:00-05:00,342.43798208148974,344.7966003417969,342.3447503282477,344.7966003417969,50749900,0.0
12,2020-12-07 00:00:00-05:00,344.02283916984663,344.58220128950416,342.8109116192047,344.0881042480469,48944300,0.0
13,2020-12-08 00:00:00-05:00,342.8109508251914,345.6636666663259,342.76434916419834,345.0950012207031,42458900,0.0
14,2020-12-09 00:00:00-05:00,345.75688779106235,345.91535619383285,341.1608489052522,341.9998779296875,74098300,0.0
15,2020-12-10 00:00:00-05:00,340.62008064967955,342.9414006425205,339.74375333303715,341.8879699707031,57735400,0.0
16,2020-12-11 00:00:00-05:00,340.18202294663377,341.8973797208397,338.65312974694143,341.4871826171875,57698600,0.0
17,2020-12-14 00:00:00-05:00,343.66862960375323,344.75002707857266,339.7810896102844,339.9582214355469,69216200,0.0
