index,date,open,high,low,close,volume
0,2020-11-18 00:00:00-05:00,205.38934124888527,206.8505754409513,202.7745072920584,202.9187164306641,28372800
1,2020-11-19 00:00:00-05:00,203.2071721485668,204.79337039826817,201.81322346200548,204.2069549560547,24792700
2,2020-11-20 00:00:00-05:00,203.99541674603475,205.04326905705005,201.88048130423013,202.25540161132807,22843100
3,2020-11-23 00:00:00-05:00,202.793755008,204.0819412748359,200.111634964733,201.9862365722656,25683500
4,2020-11-24 00:00:00-05:00,201.48635508285824,205.9661831708243,200.7845840969435,205.5912628173828,33979700
5,2020-11-25 00:00:00-05:00,206.7929067921792,206.96594016357287,204.24537325454432,205.6008453369141,21012900
6,2020-11-27 00:00:00-05:00,206.54299705815237,207.9080920979437,205.76430275885053,206.9082946777344,14512200
7,2020-11-30 00:00:00-05:00,205.82197549364963,206.4564458958065,202.6880117806121,205.7931365966797,33064800
8,2020-12-01 00:00:00-05:00,206.2161355089851,208.91750140694063,205.10099713830965,207.8504180908203,30904500
9,2020-12-02 00:00:00-05:00,206.57180161644624,207.13898610870103,204.5722217772667,207.0428466796875,23724500
10,2020-12-03 00:00:00-05:00,206.3122782999829,208.01384678706904,205.38938947020824,205.9565887451172,25120900
11,2020-12-04 00:00:00-05:00,205.9373282658925,207.0524811628778,204.93753095520975,206.0719146728516,24666000
12,2020-12-07 00:00:00-05:00,206.08151676587187,207.2062777061225,204.7548835554524,206.00460815429688,24620000
13,2020-12-08 00:00:00-05:00,205.69699327130184,208.5617694437516,204.6587489935617,207.6581115722656,23284100
14,2020-12-09 00:00:00-05:00,206.84095836336223,206.9082442233962,203.04368591308923,203.61087036132807,32440600
15,2020-12-10 00:00:00-05:00,203.58205592220745,204.84140328420904,202.2265691271052,202.38038635253903,26733300
16,2020-12-11 00:00:00-05:00,201.9285556018802,205.07212727508465,201.0248977466188,205.01443481445312,30979400
17,2020-12-14 00:00:00-05:00,204.8606607801778,207.85041564557133,204.64916573487125,205.91812133789065,28798400
18,2020-12-15 00:00:00-05:00,206.850597476952,207.0909313980809,204.0338909623543,205.85081481933597,27000600
19,2020-12-16 00:00:00-05:00,206.44681722589812,211.59957655691537,206.417978331805,210.8016662597656,35023300
20,2020-12-17 00:00:00-05:00,211.36886214164468,212.34942860017748,209.494260580345,210.93626403808597,32515800
21,2020-12-18 00:00:00-05:00,210.13833618164065,211.19581116336445,207.66771142443716,210.13833618164065,63354900
22,2020-12-21 00:00:00-05:00,209.1385931961624,215.33920578615155,208.87902843906147,213.9837188720703,37181900
23,2020-12-22 00:00:00-05:00,214.07982465441432,216.90615363299253,213.27230628019683,215.281494140625,22612200
24,2020-12-23 00:00:00-05:00,214.4835990132928,214.91619712516564,212.26291599270337,212.4744110107422,18699600
25,2020-12-24 00:00:00-05:00,212.85893405514415,214.9642614379952,212.64743904242195,214.13751220703125,10550600
26,2020-12-28 00:00:00-05:00,215.7717943671753,217.2907065294628,214.3970913608019,216.2620849609375,17933500
27,2020-12-29 00:00:00-05:00,217.5598563272588,218.39621360154015,214.93541425812904,215.48336791992188,17403200
