Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-18 00:00:00-05:00,115.4611723878438,116.63904872341847,114.86736591902952,114.89656829833984,76322100,0.0,0.0
2020-11-19 00:00:00-05:00,114.46823633236953,115.89921220090177,113.70894483319339,115.49036407470703,74113000,0.0,0.0
2020-11-20 00:00:00-05:00,115.49037493540368,115.6169210548832,114.17621587656545,114.22488403320312,73604300,0.0,0.0
2020-11-23 00:00:00-05:00,114.06913532208017,114.49745669006192,110.7301937966756,110.8275375366211,127959300,0.0,0.0
2020-11-24 00:00:00-05:00,110.885966009348,112.77445860760254,109.60100171666315,112.11251068115234,113874200,0.0,0.0
2020-11-25 00:00:00-05:00,112.48241594054053,113.6505557267342,112.11249931432629,112.94966888427734,76499200,0.0,0.0
2020-11-27 00:00:00-05:00,113.47533860340312,114.3709129708123,113.1346317708944,113.49480438232422,46691300,0.0,0.0
2020-11-30 00:00:00-05:00,113.86471334319992,117.75852242774822,113.7089574149293,115.88949584960938,169410200,0.0,0.0
2020-12-01 00:00:00-05:00,117.79746411967523,120.19215587053868,116.82401182614447,119.46206665039062,127728200,0.0,0.0
2020-12-02 00:00:00-05:00,118.78064316901394,120.0948096799896,117.68064477339988,119.81250762939453,89004200,0.0,0.0
2020-12-03 00:00:00-05:00,120.24083575457,120.49393545508784,118.9656155022822,119.67623901367188,78967600,0.0,0.0
2020-12-04 00:00:00-05:00,119.34526159986807,119.5983613009378,118.29393123559595,119.00455474853516,78260400,0.0,0.0
2020-12-07 00:00:00-05:00,119.0629479962768,121.26295226566269,119.00454323508524,120.4647216796875,86712000,0.0,0.0
2020-12-08 00:00:00-05:00,121.06824323820942,121.66204962752003,119.82221828193694,121.07797241210938,82225500,0.0,0.0
2020-12-09 00:00:00-05:00,121.22401378468822,122.6063142688594,117.78772835245422,118.5470199584961,115089200,0.0,0.0
2020-12-10 00:00:00-05:00,117.30098952456378,120.58152609613698,116.96028274160534,119.96824645996094,81312200,0.0,0.0
2020-12-11 00:00:00-05:00,119.17976698694284,119.50100803270227,117.34967931202699,119.1603012084961,86939800,0.0,0.0
2020-12-14 00:00:00-05:00,119.3452505477775,120.07533977310263,118.31339348591051,118.5470199584961,79184500,0.0,0.0
2020-12-15 00:00:00-05:00,121.0390623043862,124.50455773983639,120.83463820097641,124.4850845336914,157243700,0.0,0.0
2020-12-16 00:00:00-05:00,124.02754858374912,124.96205437931009,123.20010827082164,124.41692352294922,98208600,0.0,0.0
2020-12-17 00:00:00-05:00,125.47801271123197,126.13996808980455,124.64084302444346,125.2833251953125,94359800,0.0,0.0
2020-12-18 00:00:00-05:00,125.53640555307189,125.67268827051221,122.77179737031575,123.2974624633789,192541500,0.0,0.0
2020-12-21 00:00:00-05:00,121.70100182150271,124.90366074139115,120.17268202586978,124.8257827758789,121251600,0.0,0.0
2020-12-22 00:00:00-05:00,128.1160699450411,130.8417396142282,126.20809672049869,128.37890625,168904800,0.0,0.0
2020-12-23 00:00:00-05:00,128.65144655619818,128.91426795602177,127.30807776451475,127.48330688476562,88223700,0.0,0.0
2020-12-24 00:00:00-05:00,127.83375369258947,129.91694086606563,127.61959301416368,128.46649169921875,54930100,0.0,0.0
2020-12-28 00:00:00-05:00,130.43286969291617,133.693925752392,129.96560192767902,133.06118774414062,124486200,0.0,0.0
2020-12-29 00:00:00-05:00,134.38507537843176,135.1054204796811,130.77356128298763,131.28948974609375,121047300,0.0,0.0
2020-12-30 00:00:00-05:00,131.98066583416636,132.37978484573765,129.85853207666074,130.1700439453125,96452100,0.0,0.0
2020-12-31 00:00:00-05:00,130.5204870277971,131.16296911492586,128.2231389904879,129.16738891601562,99116600,0.0,0.0
2021-01-04 00:00:00-05:00,129.97535392263828,130.0629610638514,123.39481436257799,125.9744644165039,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,125.46829078537516,128.24263632210662,125.02049610454635,127.5320053100586,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,124.32932099883892,127.570918733124,123.02489113823766,123.23905181884766,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,124.9523759594321,128.13557011102623,124.46564966087615,127.44441223144531,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,128.91428961570313,129.10899197173987,126.77269738263777,128.5443878173828,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,125.76029392736588,126.71427293823224,125.08860952298478,125.55586242675781,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,125.08861473418492,126.24702529391881,123.4921536305582,125.38065338134766,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,125.34174066662901,127.9603303123861,125.07891918186495,127.41519927978516,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,127.327587039671,127.52227456444804,125.34173566730958,125.48776245117188,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,125.36119363586094,126.76296740977297,123.62844962469308,123.76473236083984,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,124.38774103736687,125.29305945365387,123.570044622059,124.43641662597656,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,125.24438780808299,128.97271223666024,125.13730745125214,128.52491760253906,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,130.24795849137539,135.96212039668015,130.0435269134471,133.2364501953125,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,132.66206599733243,136.13729751698824,131.435521560002,135.3780059814453,114459400,0.0,0.0
